Product Type,Stock Keeping Unit,Price,Availability,Number of products sold,Revenue generated,Gender,Stock levels,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Costs,Supply Dates
Health Care,SKU1935,2992,2,316,7864,Male,75,366,70,Mahindra Logistics,156,Prime Suppliers,Chennai,78,622,12,34.26013787,Pass,3,Road,252,11-08-2003
Cosmetics ,SKU1936,2095,51,191,2466,Female,52,456,91,Safexpress,304,Prime Trading,Kalaburagi,1,671,42,97.81582482,Pass,5,Air,988,12-08-2003
Yogamats,SKU1937,1602,48,102,6004,Female,59,233,25,India Post,398,Vertex Suppliers,Davangere,29,871,1,33.77435852,Pass,2,Air,801,13-08-2003
SkinCare,SKU1938,1060,49,122,5451,Female,90,202,65,Delhivery,305,Apex Logistics,Visakhapatnam,7,982,14,95.36956006,Pass,1,Air,100,14-08-2003
Cosmetics ,SKU1939,1484,69,471,4387,Male,86,391,25,Safexpress,482,Global Industries,Trivandrum,75,878,70,28.26091292,Pass,4,Road,360,15-08-2003
SkinCare,SKU1940,1014,29,337,2346,Female,70,310,52,Safexpress,476,Nova Suppliers,Ahmedabad,28,321,23,41.47891584,Pass,2,Road,716,16-08-2003
Yogamats,SKU1941,1399,47,401,4401,Male,72,274,97,DHL Express,112,Global Suppliers,Vadodara,86,582,67,12.67410421,Pass,1,Road,267,17-08-2003
Yogamats,SKU1942,1427,92,325,4215,Male,60,228,42,India Post,424,Apex Suppliers,Ludhiana,73,461,32,95.07006641,Pending,2,Rail,539,18-08-2003
Cosmetics ,SKU1943,1950,11,179,9783,Male,67,310,54,FedEx,176,Global Industries,Ludhiana,95,981,32,4.629235517,Fail,1,Air,191,19-08-2003
SkinCare,SKU1944,1936,81,118,6832,Other,77,390,69,DTDC,147,Apex Trading,Kochi,100,935,59,30.06566513,Pending,5,Sea,207,20-08-2003
SkinCare,SKU1945,974,11,383,8484,Other,54,400,4,Mahindra Logistics,180,Nova Suppliers,Delhi,40,698,5,92.8924263,Fail,5,Rail,277,21-08-2003
HomeGoods,SKU1946,2695,43,154,5900,Male,95,323,54,XpressBees,459,Nova Suppliers,Bhubaneswar,35,988,20,79.30064537,Pending,1,Sea,927,22-08-2003
Yogamats,SKU1947,2104,5,481,3462,Other,78,213,42,Mahindra Logistics,394,Apex Logistics,Bhopal,97,854,26,65.34395667,Pass,2,Road,916,23-08-2003
HomeGoods,SKU1948,2268,42,318,5115,Female,62,267,48,XpressBees,254,Nova Logistics,Indore,26,519,54,88.0392118,Pending,4,Road,140,24-08-2003
Health Care,SKU1949,1550,62,492,4797,Female,98,330,60,Mahindra Logistics,354,Vertex Suppliers,Belagavi,9,105,58,1.41823051,Pending,3,Rail,653,25-08-2003
Health Care,SKU1950,1076,78,307,7272,Male,66,241,91,FedEx,221,Global Industries,Kozhikode,45,490,18,62.11012327,Pending,3,Air,939,26-08-2003
Health Care,SKU1951,1171,80,237,5450,Female,55,486,36,XpressBees,443,Apex Industries,Trivandrum,50,423,47,43.09608539,Pending,2,Road,181,27-08-2003
Health Care,SKU1952,1586,64,281,2361,Male,90,238,37,Gati,323,Nova Industries,Trichy,11,908,22,6.255453961,Fail,2,Rail,343,28-08-2003
HomeGoods,SKU1953,2625,73,350,7147,Other,50,486,5,Mahindra Logistics,487,Prime Manufacturing,Vijayawada,11,445,77,81.36573916,Fail,2,Rail,790,29-08-2003
SkinCare,SKU1954,1629,89,492,5540,Male,56,215,36,Gati,273,Apex Industries,Salem,34,618,78,42.76959241,Pending,5,Air,728,30-08-2003
Yogamats,SKU1955,2221,83,271,7684,Male,50,229,64,Blue Dart,175,Global Industries,Tumakuru,16,298,25,83.8799243,Pass,3,Road,211,31-08-2003
Cloths,SKU1956,2940,74,106,3764,Female,84,310,32,DTDC,142,Nova Manufacturing,Chennai,62,200,52,67.04369124,Fail,4,Road,973,01-09-2003
SkinCare,SKU1957,2039,37,416,9030,Female,56,359,10,DTDC,124,Global Trading,Bhubaneswar,88,753,57,3.11223705,Fail,2,Rail,502,02-09-2003
Cloths,SKU1958,1248,21,293,3221,Male,75,333,80,Safexpress,129,Nova Industries,Surat,23,525,53,96.4871342,Fail,3,Air,383,03-09-2003
Health Care,SKU1959,1422,83,300,7379,Female,58,467,26,DTDC,452,Global Logistics,Indore,26,296,50,88.46948519,Fail,5,Rail,846,04-09-2003
Cloths,SKU1960,1244,66,244,3938,Female,70,313,62,DHL Express,150,Vertex Manufacturing,Ludhiana,20,896,80,72.35105544,Pass,5,Road,149,05-09-2003
Cloths,SKU1961,828,85,274,3995,Male,92,438,46,Safexpress,410,Apex Industries,Patna,43,656,30,72.22653626,Fail,1,Sea,152,06-09-2003
SkinCare,SKU1962,2817,92,430,3315,Female,79,360,24,Gati,257,Prime Logistics,Kalaburagi,4,684,35,90.15119789,Pending,3,Road,648,07-09-2003
Yogamats,SKU1963,2887,1,363,6171,Male,74,240,18,Safexpress,495,Vertex Manufacturing,Vadodara,33,136,46,31.93602845,Pending,5,Air,530,08-09-2003
Cosmetics ,SKU1964,1990,97,460,6192,Other,83,404,88,DTDC,429,Apex Logistics,Tumakuru,50,414,39,93.59562662,Pending,2,Rail,926,09-09-2003
Cosmetics ,SKU1965,2634,54,133,8275,Male,94,387,43,Gati,368,Prime Suppliers,Surat,48,153,43,88.10075762,Pass,5,Sea,118,10-09-2003
HomeGoods,SKU1966,2512,26,489,6290,Male,58,500,54,Blue Dart,294,Global Trading,Kozhikode,7,471,12,1.013729649,Pass,2,Rail,160,11-09-2003
HomeGoods,SKU1967,761,35,443,8817,Female,61,390,57,XpressBees,174,Prime Manufacturing,Salem,91,264,80,21.0375512,Fail,4,Air,426,12-09-2003
Yogamats,SKU1968,1523,18,285,3383,Female,89,214,16,DHL Express,243,Nova Logistics,Bhopal,34,644,37,9.797613833,Pending,1,Air,287,13-09-2003
HomeGoods,SKU1969,932,79,209,3867,Other,90,231,62,India Post,352,Global Manufacturing,Vadodara,86,950,1,20.69435417,Fail,1,Air,507,14-09-2003
HomeGoods,SKU1970,2876,35,136,8995,Male,76,380,10,Safexpress,332,Apex Logistics,Kozhikode,14,764,61,83.94852562,Pass,3,Air,185,15-09-2003
Health Care,SKU1971,1282,96,180,6206,Male,57,432,96,Blue Dart,404,Vertex Logistics,Chennai,40,767,8,66.78885623,Pending,3,Air,466,16-09-2003
Cosmetics ,SKU1972,1212,91,353,9712,Female,54,480,66,XpressBees,112,Nova Logistics,Belagavi,86,872,6,80.87572675,Fail,1,Sea,865,17-09-2003
Cloths,SKU1973,919,11,276,3216,Other,70,473,90,XpressBees,266,Prime Trading,Bhopal,77,954,56,7.985285552,Fail,2,Rail,589,18-09-2003
SkinCare,SKU1974,1223,59,354,3301,Female,96,480,5,Gati,330,Nova Industries,Raipur,97,395,43,36.45759348,Pass,2,Air,103,19-09-2003
Cosmetics ,SKU1975,2984,27,385,6278,Male,58,288,11,Safexpress,134,Vertex Manufacturing,Surat,6,386,3,20.00772005,Pass,1,Rail,428,20-09-2003
Health Care,SKU1976,525,15,170,2228,Female,54,400,19,India Post,188,Prime Trading,Chennai,91,414,32,89.57601192,Fail,3,Road,249,21-09-2003
HomeGoods,SKU1977,1715,87,220,7537,Male,76,343,76,DHL Express,254,Vertex Logistics,Jaipur,82,824,17,39.50125315,Fail,3,Air,811,22-09-2003
Cosmetics ,SKU1978,686,8,185,5880,Other,91,398,28,India Post,330,Vertex Trading,Ranchi,5,771,26,82.32381319,Pass,5,Road,964,23-09-2003
Cosmetics ,SKU1979,1948,54,492,8059,Male,63,342,89,DTDC,238,Vertex Manufacturing,Mumbai,6,230,76,57.58564342,Pass,5,Air,645,24-09-2003
Health Care,SKU1980,669,61,414,3545,Female,80,208,5,DHL Express,354,Apex Suppliers,Salem,48,724,73,40.14472579,Pending,3,Sea,811,25-09-2003
Health Care,SKU1981,1014,72,202,2716,Male,89,345,100,Mahindra Logistics,114,Prime Manufacturing,Kochi,72,928,19,31.99913381,Fail,1,Air,518,26-09-2003
Cloths,SKU1982,1243,63,412,8862,Male,56,396,37,DHL Express,208,Global Manufacturing,Indore,54,453,1,31.03618786,Pending,2,Air,690,27-09-2003
Cosmetics ,SKU1983,2455,87,311,8866,Male,97,265,88,Blue Dart,412,Nova Manufacturing,Tiruppur,51,824,75,43.86708034,Pass,1,Road,802,28-09-2003
SkinCare,SKU1984,568,38,465,9825,Female,62,268,42,Gati,131,Nova Industries,Indore,74,721,12,97.47622108,Fail,5,Sea,157,29-09-2003
Cloths,SKU1985,1122,91,362,3284,Female,67,420,74,Safexpress,120,Nova Industries,Kolkata,5,592,19,35.92296421,Fail,3,Sea,702,30-09-2003
Health Care,SKU1986,2554,74,199,3480,Female,60,377,93,DHL Express,393,Prime Trading,Davangere,52,503,9,5.050200348,Pass,4,Air,699,01-10-2003
HomeGoods,SKU1987,1475,2,266,9595,Male,97,361,77,DTDC,284,Prime Suppliers,Jaipur,24,506,21,6.939856763,Fail,3,Rail,908,02-10-2003
Cloths,SKU1988,1062,48,332,6423,Female,99,380,48,Mahindra Logistics,239,Prime Trading,Delhi,60,733,45,22.29960411,Fail,5,Sea,642,03-10-2003
HomeGoods,SKU1989,606,4,426,2530,Male,54,451,5,India Post,350,Global Trading,Kalaburagi,45,342,55,9.629487178,Pending,4,Road,671,04-10-2003
SkinCare,SKU1990,991,24,163,8694,Female,74,471,97,FedEx,443,Prime Manufacturing,Ludhiana,33,858,64,52.39853407,Pending,1,Air,707,05-10-2003
SkinCare,SKU1991,829,53,377,4948,Female,53,396,30,DHL Express,276,Global Logistics,Cuttack,6,605,2,90.055916,Pass,4,Air,532,06-10-2003
Health Care,SKU1992,708,63,487,4151,Male,66,248,14,DHL Express,390,Apex Suppliers,Chandigarh,64,619,65,24.81681361,Fail,2,Rail,153,07-10-2003
Health Care,SKU1993,1327,85,499,3478,Other,95,481,16,Mahindra Logistics,116,Global Suppliers,Noida,90,264,50,12.53434719,Pending,5,Air,415,08-10-2003
HomeGoods,SKU1994,2940,13,499,6756,Female,100,359,89,Delhivery,321,Apex Trading,Salem,95,338,64,51.15159165,Pass,1,Road,251,09-10-2003
Health Care,SKU1995,1082,78,407,5989,Female,67,397,91,DTDC,243,Nova Suppliers,Kozhikode,42,229,76,94.94454154,Fail,4,Sea,856,10-10-2003
Yogamats,SKU1996,1812,70,188,3854,Female,56,359,63,XpressBees,494,Global Logistics,Tiruppur,57,948,68,65.08324003,Pending,5,Road,516,11-10-2003
Cloths,SKU1997,1264,14,278,7854,Other,95,393,34,XpressBees,161,Nova Suppliers,Ahmedabad,25,791,21,62.32543064,Fail,1,Sea,247,12-10-2003
SkinCare,SKU1998,855,88,303,9421,Male,89,490,83,Mahindra Logistics,105,Nova Manufacturing,Bengaluru,89,845,1,20.50150008,Pending,2,Rail,304,13-10-2003
Cosmetics ,SKU1999,562,19,116,5004,Male,78,299,7,Gati,369,Vertex Suppliers,Mangaluru,68,514,14,56.58841596,Pending,3,Air,487,14-10-2003
Yogamats,SKU2000,780,49,405,2446,Other,97,327,80,Delhivery,452,Global Industries,Belagavi,54,539,22,13.68109266,Pass,5,Rail,789,15-10-2003
HomeGoods,SKU2001,992,97,484,5304,Female,78,448,32,Blue Dart,131,Apex Trading,Mysuru,39,326,50,38.62743435,Pending,5,Rail,664,16-10-2003
HomeGoods,SKU2002,649,88,258,7147,Female,65,464,87,Blue Dart,140,Prime Logistics,Hyderabad,62,558,72,13.73647312,Fail,3,Rail,442,17-10-2003
Health Care,SKU2003,531,34,323,4559,Other,63,210,68,DTDC,369,Vertex Logistics,Bhopal,49,851,21,98.05628605,Pass,2,Rail,465,18-10-2003
Yogamats,SKU2004,2362,74,460,4573,Female,85,248,67,Safexpress,221,Global Manufacturing,Indore,46,697,37,33.69783855,Fail,2,Rail,815,19-10-2003
Cosmetics ,SKU2005,2481,38,150,6600,Female,79,225,69,FedEx,201,Global Suppliers,Kolkata,92,935,19,53.19303386,Fail,2,Rail,887,20-10-2003
HomeGoods,SKU2006,739,63,318,3612,Female,99,202,61,Safexpress,470,Prime Suppliers,Tiruppur,47,198,42,99.73157577,Pending,1,Air,921,21-10-2003
Cloths,SKU2007,1831,26,203,6634,Female,85,424,29,Blue Dart,327,Apex Trading,Faridabad,32,655,10,3.493232917,Fail,5,Rail,829,22-10-2003
Yogamats,SKU2008,708,63,176,8601,Male,52,318,55,FedEx,301,Apex Industries,Bhubaneswar,77,478,2,42.092862,Pending,4,Road,306,23-10-2003
SkinCare,SKU2009,1263,74,131,2397,Female,78,281,93,Safexpress,125,Global Manufacturing,Kozhikode,26,440,58,88.97825728,Pass,1,Sea,647,24-10-2003
HomeGoods,SKU2010,2662,11,170,2710,Male,61,434,73,India Post,193,Nova Manufacturing,Raipur,22,693,48,43.14089493,Pass,2,Rail,107,25-10-2003
Health Care,SKU2011,1775,83,328,5616,Female,63,325,56,DHL Express,108,Apex Suppliers,Faridabad,27,101,16,30.29454496,Pending,2,Road,881,26-10-2003
Yogamats,SKU2012,2007,24,488,8783,Female,97,325,98,Blue Dart,457,Vertex Logistics,Kolkata,48,609,32,47.06183625,Pass,5,Rail,824,27-10-2003
Cloths,SKU2013,1792,97,450,9289,Female,54,210,76,Delhivery,425,Apex Trading,Udupi,89,889,66,57.99919999,Pass,3,Road,285,28-10-2003
Yogamats,SKU2014,2734,7,228,5601,Male,94,288,43,Gati,161,Nova Trading,Bengaluru,89,974,77,16.41652675,Fail,4,Sea,472,29-10-2003
Cloths,SKU2015,1827,89,243,3904,Male,87,358,57,FedEx,382,Prime Manufacturing,Bhopal,40,403,9,3.517497025,Pending,1,Sea,612,30-10-2003
Health Care,SKU2016,2332,61,456,5388,Female,88,358,93,XpressBees,436,Apex Suppliers,Tiruppur,72,356,26,9.833155105,Pass,5,Rail,556,31-10-2003
SkinCare,SKU2017,2700,54,363,2870,Female,73,340,52,DTDC,223,Prime Industries,Chandigarh,38,837,11,4.502602259,Pending,4,Road,546,01-11-2003
Cloths,SKU2018,2082,37,347,5773,Female,100,493,100,DHL Express,417,Nova Manufacturing,Nagpur,38,468,64,2.820156261,Pass,2,Rail,140,02-11-2003
SkinCare,SKU2019,2783,51,391,5166,Female,86,306,93,India Post,321,Apex Trading,Kolkata,26,819,63,10.92349913,Fail,1,Sea,918,03-11-2003
Cloths,SKU2020,2069,92,457,4974,Female,91,246,65,Gati,270,Nova Suppliers,Ahmedabad,9,609,20,4.791762145,Pending,3,Sea,731,04-11-2003
HomeGoods,SKU2021,1084,10,319,6649,Female,77,390,59,XpressBees,127,Vertex Trading,Jaipur,58,287,65,85.99640744,Pending,5,Rail,664,05-11-2003
Health Care,SKU2022,689,33,199,7696,Other,82,253,49,Mahindra Logistics,485,Apex Industries,Pune,5,737,32,18.81300394,Pending,4,Road,789,06-11-2003
Yogamats,SKU2023,1889,12,209,6804,Female,89,309,21,Gati,112,Vertex Manufacturing,Mysuru,39,417,52,70.95500739,Fail,5,Sea,386,07-11-2003
SkinCare,SKU2024,2612,56,463,6927,Female,56,211,72,Gati,271,Apex Logistics,Trichy,77,945,4,89.54912077,Pass,3,Air,808,08-11-2003
Yogamats,SKU2025,833,8,399,8696,Male,78,255,7,Gati,246,Nova Manufacturing,Raipur,34,446,9,3.055300623,Pending,1,Road,136,09-11-2003
Yogamats,SKU2026,887,67,343,9633,Other,79,400,47,Safexpress,169,Vertex Manufacturing,Trichy,57,899,54,49.25734162,Pending,1,Air,341,10-11-2003
SkinCare,SKU2027,2477,53,372,5223,Female,81,339,55,India Post,104,Nova Suppliers,Kochi,16,451,27,47.34091444,Pass,3,Air,474,11-11-2003
Cosmetics ,SKU2028,1722,78,330,9503,Male,71,294,91,India Post,346,Apex Suppliers,Bhubaneswar,57,519,46,20.2082639,Fail,5,Rail,412,12-11-2003
Health Care,SKU2029,1704,32,372,5748,Female,55,296,2,Blue Dart,449,Nova Trading,Raipur,5,239,52,33.17377544,Fail,4,Rail,318,13-11-2003
Health Care,SKU2030,2765,54,437,8531,Male,67,304,96,Blue Dart,120,Vertex Industries,Raipur,72,218,12,88.82812017,Pending,4,Air,515,14-11-2003
Health Care,SKU2031,1623,61,255,9449,Female,67,212,44,India Post,174,Vertex Trading,Kochi,21,848,10,79.02406895,Fail,4,Sea,612,15-11-2003
Cosmetics ,SKU2032,2453,70,222,3525,Male,98,397,66,India Post,461,Prime Logistics,Trichy,1,143,45,92.09846754,Pass,2,Sea,495,16-11-2003
Cosmetics ,SKU2033,1089,60,427,8304,Male,50,227,85,Blue Dart,317,Nova Manufacturing,Hubli,54,240,55,84.42944249,Pending,5,Rail,235,17-11-2003
Cosmetics ,SKU2034,894,64,428,8804,Male,66,398,94,DTDC,460,Global Suppliers,Surat,49,934,26,14.75150251,Fail,4,Sea,637,18-11-2003
Cosmetics ,SKU2035,2533,77,421,9491,Other,95,220,32,Gati,338,Vertex Trading,Kozhikode,92,669,12,25.0537121,Pending,3,Rail,347,19-11-2003
Yogamats,SKU2036,2049,90,179,9896,Male,72,476,98,FedEx,268,Global Trading,Davangere,15,875,25,26.98845246,Pass,5,Sea,121,20-11-2003
Cloths,SKU2037,1717,27,401,9721,Female,68,441,55,FedEx,180,Apex Logistics,Kalaburagi,55,208,11,29.62231456,Pass,2,Air,207,21-11-2003
Cosmetics ,SKU2038,1803,33,342,6789,Male,52,478,38,Gati,377,Nova Suppliers,Salem,90,545,26,93.85832142,Pending,5,Air,896,22-11-2003
Cloths,SKU2039,1772,36,406,2918,Female,87,384,37,Delhivery,291,Prime Industries,Bhubaneswar,3,973,39,58.87593316,Fail,2,Rail,989,23-11-2003
Yogamats,SKU2040,2061,87,150,5210,Male,72,261,87,DHL Express,217,Vertex Trading,Tumakuru,4,529,72,91.68778302,Fail,4,Rail,246,24-11-2003
Cosmetics ,SKU2041,2514,2,177,3747,Male,66,402,52,Safexpress,493,Vertex Logistics,Vadodara,43,858,59,44.00880986,Pass,1,Air,905,25-11-2003
Cloths,SKU2042,947,57,489,9566,Female,99,320,4,Blue Dart,131,Vertex Logistics,Raipur,21,868,1,95.94884821,Fail,3,Rail,417,26-11-2003
Health Care,SKU2043,2046,71,288,7095,Female,56,446,26,Blue Dart,132,Global Suppliers,Coimbatore,51,248,28,25.26108856,Pending,1,Road,485,27-11-2003
SkinCare,SKU2044,1917,29,159,3288,Male,93,353,22,Blue Dart,334,Prime Suppliers,Gurgaon,6,285,45,51.42835392,Pass,1,Air,629,28-11-2003
Cloths,SKU2045,918,27,217,5666,Male,94,269,68,XpressBees,333,Vertex Logistics,Kozhikode,5,322,55,55.17930728,Pending,4,Rail,939,29-11-2003
Cosmetics ,SKU2046,777,85,230,4402,Other,69,347,38,Mahindra Logistics,123,Prime Logistics,Belagavi,57,513,9,8.737998667,Pass,5,Sea,512,30-11-2003
Cosmetics ,SKU2047,792,83,244,3821,Female,83,345,89,Delhivery,397,Prime Trading,Bhopal,83,256,35,27.50913427,Pending,1,Air,976,01-12-2003
Cosmetics ,SKU2048,1857,5,294,2501,Female,98,369,23,Safexpress,196,Nova Logistics,Ballari,12,529,58,20.40712558,Fail,1,Road,456,02-12-2003
Cosmetics ,SKU2049,1396,19,245,2460,Female,96,306,56,DHL Express,170,Vertex Industries,Vadodara,92,661,16,5.029742112,Pass,2,Sea,539,03-12-2003
Yogamats,SKU2050,2563,29,293,5713,Female,84,258,69,Gati,160,Apex Industries,Ballari,24,410,67,4.683078939,Pending,3,Air,829,04-12-2003
Yogamats,SKU2051,2910,3,245,9185,Female,58,495,39,Safexpress,373,Apex Manufacturing,Hyderabad,77,384,51,78.43265107,Pass,3,Rail,476,05-12-2003
Cloths,SKU2052,1131,67,387,9983,Female,73,234,67,India Post,239,Apex Suppliers,Gurgaon,91,331,31,63.47866237,Pending,2,Rail,396,06-12-2003
Yogamats,SKU2053,1100,22,137,9777,Male,96,443,47,Safexpress,224,Global Logistics,Jaipur,83,736,70,83.37311454,Pending,3,Road,540,07-12-2003
Yogamats,SKU2054,1645,36,340,3674,Female,93,220,67,DHL Express,299,Apex Trading,Patna,28,293,63,84.44320675,Pending,3,Sea,861,08-12-2003
Health Care,SKU2055,590,94,268,7453,Other,54,336,13,Blue Dart,444,Apex Suppliers,Salem,20,1000,77,56.91968614,Pending,4,Air,295,09-12-2003
SkinCare,SKU2056,1451,54,408,5010,Female,60,319,42,Delhivery,161,Apex Manufacturing,Noida,69,391,79,93.33839744,Pending,3,Air,696,10-12-2003
Yogamats,SKU2057,1234,61,156,7893,Male,74,427,68,FedEx,429,Nova Logistics,Mangaluru,1,126,27,43.27872302,Fail,3,Air,268,11-12-2003
Cloths,SKU2058,2547,96,463,4766,Male,61,466,16,FedEx,125,Prime Manufacturing,Kannur,96,287,77,69.12122901,Pass,5,Rail,202,12-12-2003
HomeGoods,SKU2059,1027,23,179,2866,Female,61,404,35,Blue Dart,151,Prime Logistics,Chandigarh,44,684,34,23.41120303,Fail,5,Rail,955,13-12-2003
HomeGoods,SKU2060,1356,19,392,3511,Female,59,319,52,FedEx,361,Nova Logistics,Jaipur,25,958,33,42.43731087,Pass,3,Air,876,14-12-2003
Yogamats,SKU2061,1506,25,246,4906,Other,95,332,49,Blue Dart,288,Nova Manufacturing,Trichy,50,595,43,91.0529155,Pass,4,Road,526,15-12-2003
Yogamats,SKU2062,2395,17,296,7648,Male,62,468,24,XpressBees,374,Global Logistics,Kannur,53,455,62,87.25291988,Pass,5,Road,780,16-12-2003
Health Care,SKU2063,2799,4,305,3038,Male,97,300,43,Delhivery,153,Global Industries,Vadodara,93,122,28,26.84739022,Pending,3,Air,915,17-12-2003
Cosmetics ,SKU2064,2233,71,278,3719,Male,77,397,25,XpressBees,261,Apex Suppliers,Faridabad,51,740,43,39.30137743,Fail,4,Air,625,18-12-2003
Cosmetics ,SKU2065,2306,4,143,5931,Male,94,367,65,India Post,298,Nova Logistics,Tiruppur,92,686,29,92.84573267,Pass,2,Rail,852,19-12-2003
Cloths,SKU2066,520,42,198,7960,Male,91,363,38,Gati,182,Apex Industries,Indore,25,754,5,50.8203698,Pending,1,Rail,241,20-12-2003
Health Care,SKU2067,2854,34,123,2915,Female,99,343,51,Blue Dart,302,Nova Suppliers,Tumakuru,22,489,58,3.886973419,Pending,4,Road,722,21-12-2003
HomeGoods,SKU2068,2548,33,476,9244,Male,82,391,15,XpressBees,375,Global Suppliers,Mumbai,49,555,30,8.148655476,Fail,4,Air,782,22-12-2003
Health Care,SKU2069,547,98,182,9582,Male,99,389,28,Gati,419,Vertex Logistics,Tiruppur,44,512,16,29.13413963,Fail,5,Sea,236,23-12-2003
Health Care,SKU2070,724,9,350,8936,Male,52,305,78,DHL Express,265,Nova Manufacturing,Bhubaneswar,19,502,63,21.51506125,Pending,5,Sea,919,24-12-2003
SkinCare,SKU2071,887,51,292,5966,Female,96,451,16,Gati,397,Global Logistics,Pune,73,921,12,16.00390077,Pass,1,Air,429,25-12-2003
Cosmetics ,SKU2072,786,45,362,9190,Male,97,332,15,Delhivery,322,Prime Industries,Gurgaon,98,848,32,36.52647469,Fail,4,Sea,931,26-12-2003
Cosmetics ,SKU2073,1923,21,206,8896,Male,58,295,62,Blue Dart,326,Apex Manufacturing,Salem,79,353,22,99.52726565,Fail,1,Air,280,27-12-2003
Cloths,SKU2074,593,63,359,9507,Male,86,418,46,Blue Dart,322,Vertex Logistics,Udupi,49,978,48,31.78535257,Pending,2,Air,168,28-12-2003
Cosmetics ,SKU2075,1102,6,442,8215,Male,85,297,97,DTDC,288,Prime Logistics,Noida,46,511,80,73.71808498,Fail,3,Rail,930,29-12-2003
SkinCare,SKU2076,1543,46,122,4694,Female,62,339,2,Safexpress,286,Vertex Trading,Jaipur,12,181,20,22.94825578,Pending,3,Sea,843,30-12-2003
HomeGoods,SKU2077,1376,88,126,4588,Male,65,226,72,Safexpress,261,Nova Suppliers,Kannur,65,496,11,98.81874767,Pass,1,Rail,496,31-12-2003
Health Care,SKU2078,945,52,468,7224,Other,59,293,60,FedEx,402,Nova Logistics,Surat,91,254,19,54.28294112,Pass,2,Air,813,01-01-2004
SkinCare,SKU2079,1200,51,234,3151,Other,74,200,60,Blue Dart,434,Prime Industries,Ahmedabad,36,248,65,28.30255073,Fail,5,Rail,707,02-01-2004
Cosmetics ,SKU2080,2409,40,153,4872,Male,90,376,42,Mahindra Logistics,357,Nova Industries,Thrissur,43,780,31,11.31914016,Fail,5,Air,420,03-01-2004
SkinCare,SKU2081,1700,94,138,3096,Female,79,295,27,Blue Dart,190,Apex Suppliers,Mysuru,92,110,48,13.65080849,Pass,3,Sea,647,04-01-2004
Cloths,SKU2082,1114,80,141,2452,Female,86,436,72,Mahindra Logistics,221,Prime Industries,Nagpur,23,157,25,59.73102626,Fail,1,Rail,706,05-01-2004
HomeGoods,SKU2083,1711,82,185,3408,Male,59,203,4,XpressBees,331,Global Suppliers,Kannur,63,337,68,49.28036607,Pending,5,Air,103,06-01-2004
HomeGoods,SKU2084,1195,3,419,9455,Female,60,331,99,FedEx,153,Global Logistics,Bhopal,24,304,18,51.06325775,Pass,5,Sea,489,07-01-2004
Yogamats,SKU2085,619,89,271,2916,Female,71,418,14,DTDC,182,Vertex Suppliers,Amritsar,57,316,1,9.651533587,Pending,3,Road,692,08-01-2004
HomeGoods,SKU2086,2672,29,242,7030,Female,53,305,62,Gati,333,Nova Logistics,Nagpur,6,440,71,40.00552238,Pass,1,Road,363,09-01-2004
Yogamats,SKU2087,2847,28,264,4359,Female,62,347,44,India Post,215,Vertex Trading,Thrissur,7,501,64,44.10774806,Pass,3,Rail,640,10-01-2004
Yogamats,SKU2088,2303,58,426,5109,Male,63,258,18,Mahindra Logistics,107,Vertex Industries,Madurai,25,905,33,24.74973719,Fail,1,Sea,482,11-01-2004
Cosmetics ,SKU2089,1121,68,430,4119,Male,61,477,87,India Post,401,Global Industries,Kozhikode,72,916,20,16.39836776,Pending,4,Air,643,12-01-2004
Yogamats,SKU2090,667,81,394,4882,Male,97,456,31,Gati,396,Nova Logistics,Trivandrum,37,814,72,16.93064714,Pass,1,Air,210,13-01-2004
HomeGoods,SKU2091,1909,94,147,3739,Male,86,333,27,Gati,228,Prime Suppliers,Bengaluru,21,784,8,29.26654424,Pending,3,Sea,538,14-01-2004
HomeGoods,SKU2092,849,83,431,2504,Other,87,237,76,Mahindra Logistics,170,Global Logistics,Ranchi,25,943,58,8.800738234,Fail,4,Air,829,15-01-2004
Health Care,SKU2093,2922,75,155,9102,Male,59,439,35,Blue Dart,471,Vertex Industries,Tumakuru,26,425,42,49.32119273,Pass,1,Air,105,16-01-2004
Yogamats,SKU2094,2780,88,216,3337,Female,87,336,67,Mahindra Logistics,182,Global Industries,Pune,5,530,57,36.99460806,Pending,3,Rail,248,17-01-2004
Cosmetics ,SKU2095,1297,97,479,7581,Male,50,343,55,Safexpress,448,Prime Logistics,Thrissur,23,969,53,59.52900654,Pass,2,Air,448,18-01-2004
Cloths,SKU2096,1291,50,167,9230,Other,58,328,59,FedEx,308,Apex Logistics,Pune,94,289,61,33.91275565,Fail,4,Sea,466,19-01-2004
Health Care,SKU2097,2821,29,139,3709,Female,100,269,28,India Post,259,Global Logistics,Mangaluru,81,498,45,67.94783387,Fail,4,Air,818,20-01-2004
SkinCare,SKU2098,2307,87,386,6844,Male,76,282,42,Gati,247,Global Suppliers,Mysuru,100,508,75,56.59961301,Fail,2,Sea,425,21-01-2004
SkinCare,SKU2099,1402,44,153,9677,Female,56,459,86,India Post,347,Apex Suppliers,Hubli,31,156,36,53.85372445,Pending,2,Sea,486,22-01-2004
